"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"62","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 05:00:28,FALSE,NA,"857821794849501184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kristin_tarpley",174,TRUE,FALSE,NA,NA
"63","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 04:52:31,FALSE,NA,"857819795160539137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bellameow101",174,TRUE,FALSE,NA,NA
"64","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 04:50:45,FALSE,NA,"857819350689906689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","James_Arvitzu",174,TRUE,FALSE,NA,NA
"65","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 04:50:03,FALSE,NA,"857819174458077184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","galimsuleymanov",174,TRUE,FALSE,NA,NA
"66","RT @cutiebatata: i'm love this movie?? also these two were a blessing #legobatman #LEGOBatmanMovie https://t.co/FjwnFXpd1L",FALSE,0,NA,2017-04-28 04:32:51,FALSE,NA,"857814847290875904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mewnna_Caythin",15,TRUE,FALSE,NA,NA
"67","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 04:19:00,FALSE,NA,"857811361128226817",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","n4trqjedi",174,TRUE,FALSE,NA,NA
"68","RT @cutiebatata: i'm love this movie?? also these two were a blessing #legobatman #LEGOBatmanMovie https://t.co/FjwnFXpd1L",FALSE,0,NA,2017-04-28 03:48:28,FALSE,NA,"857803676823453700",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MonsterMarbles",15,TRUE,FALSE,NA,NA
"69","RT @cutiebatata: i'm love this movie?? also these two were a blessing #legobatman #LEGOBatmanMovie https://t.co/FjwnFXpd1L",FALSE,0,NA,2017-04-28 03:47:12,FALSE,NA,"857803359650279424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","xXCrossArrowXx",15,TRUE,FALSE,NA,NA
"70","RT @cutiebatata: i'm love this movie?? also these two were a blessing #legobatman #LEGOBatmanMovie https://t.co/FjwnFXpd1L",FALSE,0,NA,2017-04-28 03:46:00,FALSE,NA,"857803057341513728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Oschocodee",15,TRUE,FALSE,NA,NA
"71","RT @LEGOBatmanMovie: Batman never disappoints on #TakeYourChildToWorkDay. #LEGOBatmanMovie https://t.co/InZTvrvmON",FALSE,0,NA,2017-04-28 03:42:49,FALSE,NA,"857802254748753920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamCOYR21",174,TRUE,FALSE,NA,NA
"72","RT @LEGOBatmanMovie: Always give credit where credit’s due, unless Batman deserves all the credit. Then scratch that. #LEGOBatmanMovie http…",FALSE,0,NA,2017-04-28 03:38:24,FALSE,NA,"857801143958851585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","timweis",119,TRUE,FALSE,NA,NA
